Date,Sales,Region
6/03/2018,1719,north
6/03/2018,1719,south
6/03/2018,1659,east
6/03/2018,1800,west
7/03/2018,1581,north
7/03/2018,1602,south
7/03/2018,1608,east
7/03/2018,1650,west
8/03/2018,1611,north
8/03/2018,1530,south
8/03/2018,1698,east
8/03/2018,1668,west
9/03/2018,1746,north
9/03/2018,1524,south
9/03/2018,1506,east
9/03/2018,1704,west
10/03/2018,1788,north
10/03/2018,1719,south
10/03/2018,1746,east
10/03/2018,1584,west
11/03/2018,1692,north
11/03/2018,1635,south
11/03/2018,1608,east
11/03/2018,1590,west
12/03/2018,1599,north
12/03/2018,1518,south
12/03/2018,1602,east
12/03/2018,1659,west
13/03/2018,1644,north
13/03/2018,1611,south
13/03/2018,1554,east
13/03/2018,1515,west
14/03/2018,1515,north
14/03/2018,1632,south
14/03/2018,1512,east
14/03/2018,1776,west
15/03/2018,1677,north
15/03/2018,1503,south
15/03/2018,1605,east
15/03/2018,1647,west
16/03/2018,1506,north
16/03/2018,1737,south
16/03/2018,1590,east
16/03/2018,1767,west
17/03/2018,1593,north
17/03/2018,1614,south
17/03/2018,1710,east
17/03/2018,1662,west
18/03/2018,1650,north
18/03/2018,1755,south
18/03/2018,1698,east
18/03/2018,1659,west
19/03/2018,1683,north
19/03/2018,1509,south
19/03/2018,1500,east
19/03/2018,1545,west
20/03/2018,1647,north
20/03/2018,1614,south
20/03/2018,1629,east
20/03/2018,1677,west
21/03/2018,1743,north
21/03/2018,1569,south
21/03/2018,1593,east
21/03/2018,1578,west
22/03/2018,1578,north
22/03/2018,1581,south
22/03/2018,1653,east
22/03/2018,1578,west
23/03/2018,1761,north
23/03/2018,1611,south
23/03/2018,1749,east
23/03/2018,1764,west
24/03/2018,1716,north
24/03/2018,1710,south
24/03/2018,1800,east
24/03/2018,1728,west
25/03/2018,1743,north
25/03/2018,1764,south
25/03/2018,1740,east
25/03/2018,1707,west
26/03/2018,1509,north
26/03/2018,1641,south
26/03/2018,1533,east
26/03/2018,1752,west
27/03/2018,1767,north
27/03/2018,1590,south
27/03/2018,1533,east
27/03/2018,1704,west
28/03/2018,1671,north
28/03/2018,1527,south
28/03/2018,1524,east
28/03/2018,1629,west
29/03/2018,1722,north
29/03/2018,1557,south
29/03/2018,1686,east
29/03/2018,1779,west
30/03/2018,1734,north
30/03/2018,1776,south
30/03/2018,1554,east
30/03/2018,1725,west
31/03/2018,1617,north
31/03/2018,1635,south
31/03/2018,1605,east
31/03/2018,1785,west
1/04/2018,1761,north
1/04/2018,1530,south
1/04/2018,1710,east
1/04/2018,1506,west
2/04/2018,1509,north
2/04/2018,1797,south
2/04/2018,1662,east
2/04/2018,1530,west
3/04/2018,1767,north
3/04/2018,1767,south
3/04/2018,1614,east
3/04/2018,1533,west
4/04/2018,1767,north
4/04/2018,1761,south
4/04/2018,1566,east
4/04/2018,1623,west
5/04/2018,1506,north
5/04/2018,1512,south
5/04/2018,1692,east
5/04/2018,1749,west
6/04/2018,1701,north
6/04/2018,1752,south
6/04/2018,1632,east
6/04/2018,1515,west
7/04/2018,1725,north
7/04/2018,1611,south
7/04/2018,1788,east
7/04/2018,1617,west
8/04/2018,1656,north
8/04/2018,1674,south
8/04/2018,1557,east
8/04/2018,1701,west
9/04/2018,1686,north
9/04/2018,1782,south
9/04/2018,1641,east
9/04/2018,1557,west
10/04/2018,1686,north
10/04/2018,1527,south
10/04/2018,1698,east
10/04/2018,1728,west
11/04/2018,1671,north
11/04/2018,1527,south
11/04/2018,1581,east
11/04/2018,1764,west
12/04/2018,1653,north
12/04/2018,1626,south
12/04/2018,1782,east
12/04/2018,1749,west
13/04/2018,1539,north
13/04/2018,1752,south
13/04/2018,1674,east
13/04/2018,1749,west
14/04/2018,1569,north
14/04/2018,1794,south
14/04/2018,1674,east
14/04/2018,1638,west
15/04/2018,1515,north
15/04/2018,1527,south
15/04/2018,1602,east
15/04/2018,1653,west
16/04/2018,1602,north
16/04/2018,1707,south
16/04/2018,1548,east
16/04/2018,1527,west
17/04/2018,1599,north
17/04/2018,1728,south
17/04/2018,1704,east
17/04/2018,1539,west
18/04/2018,1545,north
18/04/2018,1797,south
18/04/2018,1515,east
18/04/2018,1719,west
19/04/2018,1713,north
19/04/2018,1674,south
19/04/2018,1767,east
19/04/2018,1767,west
20/04/2018,1668,north
20/04/2018,1620,south
20/04/2018,1677,east
20/04/2018,1509,west
21/04/2018,1683,north
21/04/2018,1743,south
21/04/2018,1644,east
21/04/2018,1578,west
22/04/2018,1572,north
22/04/2018,1545,south
22/04/2018,1557,east
22/04/2018,1626,west
23/04/2018,1710,north
23/04/2018,1659,south
23/04/2018,1665,east
23/04/2018,1521,west
24/04/2018,1503,north
24/04/2018,1650,south
24/04/2018,1689,east
24/04/2018,1743,west
25/04/2018,1623,north
25/04/2018,1503,south
25/04/2018,1758,east
25/04/2018,1557,west
26/04/2018,1713,north
26/04/2018,1734,south
26/04/2018,1740,east
26/04/2018,1563,west
27/04/2018,1716,north
27/04/2018,1791,south
27/04/2018,1674,east
27/04/2018,1716,west
28/04/2018,1632,north
28/04/2018,1641,south
28/04/2018,1584,east
28/04/2018,1590,west
29/04/2018,1713,north
29/04/2018,1593,south
29/04/2018,1740,east
29/04/2018,1638,west
30/04/2018,1653,north
30/04/2018,1590,south
30/04/2018,1593,east
30/04/2018,1602,west
1/05/2018,1785,north
1/05/2018,1764,south
1/05/2018,1506,east
1/05/2018,1536,west
2/05/2018,1623,north
2/05/2018,1674,south
2/05/2018,1791,east
2/05/2018,1653,west
3/05/2018,1785,north
3/05/2018,1569,south
3/05/2018,1500,east
3/05/2018,1770,west
4/05/2018,1653,north
4/05/2018,1590,south
4/05/2018,1671,east
4/05/2018,1629,west
5/05/2018,1578,north
5/05/2018,1665,south
5/05/2018,1575,east
5/05/2018,1587,west
6/05/2018,1674,north
6/05/2018,1785,south
6/05/2018,1719,east
6/05/2018,1617,west
7/05/2018,1794,north
7/05/2018,1563,south
7/05/2018,1728,east
7/05/2018,1740,west
8/05/2018,1617,north
8/05/2018,1650,south
8/05/2018,1728,east
8/05/2018,1635,west
9/05/2018,1584,north
9/05/2018,1647,south
9/05/2018,1551,east
9/05/2018,1512,west
10/05/2018,1737,north
10/05/2018,1551,south
10/05/2018,1515,east
10/05/2018,1716,west
11/05/2018,1746,north
11/05/2018,1677,south
11/05/2018,1584,east
11/05/2018,1617,west
12/05/2018,1743,north
12/05/2018,1533,south
12/05/2018,1521,east
12/05/2018,1578,west
13/05/2018,1545,north
13/05/2018,1713,south
13/05/2018,1665,east
13/05/2018,1644,west
14/05/2018,1776,north
14/05/2018,1560,south
14/05/2018,1644,east
14/05/2018,1503,west
15/05/2018,1800,north
15/05/2018,1758,south
15/05/2018,1701,east
15/05/2018,1671,west
16/05/2018,1593,north
16/05/2018,1617,south
16/05/2018,1626,east
16/05/2018,1629,west
17/05/2018,1728,north
17/05/2018,1506,south
17/05/2018,1590,east
17/05/2018,1626,west
18/05/2018,1782,north
18/05/2018,1572,south
18/05/2018,1539,east
18/05/2018,1509,west
19/05/2018,1788,north
19/05/2018,1713,south
19/05/2018,1626,east
19/05/2018,1629,west
20/05/2018,1548,north
20/05/2018,1716,south
20/05/2018,1752,east
20/05/2018,1638,west
21/05/2018,1575,north
21/05/2018,1671,south
21/05/2018,1626,east
21/05/2018,1572,west
22/05/2018,1572,north
22/05/2018,1569,south
22/05/2018,1581,east
22/05/2018,1521,west
23/05/2018,1641,north
23/05/2018,1692,south
23/05/2018,1713,east
23/05/2018,1563,west
24/05/2018,1524,north
24/05/2018,1533,south
24/05/2018,1695,east
24/05/2018,1533,west
25/05/2018,1599,north
25/05/2018,1665,south
25/05/2018,1713,east
25/05/2018,1644,west
26/05/2018,1776,north
26/05/2018,1530,south
26/05/2018,1650,east
26/05/2018,1512,west
27/05/2018,1629,north
27/05/2018,1707,south
27/05/2018,1521,east
27/05/2018,1761,west
28/05/2018,1755,north
28/05/2018,1659,south
28/05/2018,1800,east
28/05/2018,1539,west
29/05/2018,1713,north
29/05/2018,1752,south
29/05/2018,1629,east
29/05/2018,1635,west
30/05/2018,1674,north
30/05/2018,1701,south
30/05/2018,1614,east
30/05/2018,1794,west
31/05/2018,1725,north
31/05/2018,1659,south
31/05/2018,1536,east
31/05/2018,1620,west
1/06/2018,1794,north
1/06/2018,1623,south
1/06/2018,1665,east
1/06/2018,1671,west
2/06/2018,1752,north
2/06/2018,1707,south
2/06/2018,1797,east
2/06/2018,1668,west
3/06/2018,1596,north
3/06/2018,1503,south
3/06/2018,1578,east
3/06/2018,1680,west
4/06/2018,1608,north
4/06/2018,1683,south
4/06/2018,1572,east
4/06/2018,1656,west
5/06/2018,1713,north
5/06/2018,1698,south
5/06/2018,1557,east
5/06/2018,1782,west
6/06/2018,1695,north
6/06/2018,1680,south
6/06/2018,1761,east
6/06/2018,1659,west
7/06/2018,1518,north
7/06/2018,1572,south
7/06/2018,1785,east
7/06/2018,1557,west
8/06/2018,1719,north
8/06/2018,1677,south
8/06/2018,1695,east
8/06/2018,1602,west
9/06/2018,1782,north
9/06/2018,1773,south
9/06/2018,1656,east
9/06/2018,1665,west
10/06/2018,1578,north
10/06/2018,1641,south
10/06/2018,1737,east
10/06/2018,1557,west
11/06/2018,1788,north
11/06/2018,1677,south
11/06/2018,1698,east
11/06/2018,1728,west
12/06/2018,1776,north
12/06/2018,1551,south
12/06/2018,1548,east
12/06/2018,1542,west
13/06/2018,1683,north
13/06/2018,1683,south
13/06/2018,1572,east
13/06/2018,1683,west
14/06/2018,1761,north
14/06/2018,1668,south
14/06/2018,1599,east
14/06/2018,1593,west
15/06/2018,1623,north
15/06/2018,1737,south
15/06/2018,1593,east
15/06/2018,1788,west
16/06/2018,1659,north
16/06/2018,1641,south
16/06/2018,1575,east
16/06/2018,1611,west
17/06/2018,1599,north
17/06/2018,1530,south
17/06/2018,1608,east
17/06/2018,1626,west
18/06/2018,1530,north
18/06/2018,1707,south
18/06/2018,1611,east
18/06/2018,1635,west
19/06/2018,1593,north
19/06/2018,1749,south
19/06/2018,1623,east
19/06/2018,1608,west
20/06/2018,1665,north
20/06/2018,1659,south
20/06/2018,1734,east
20/06/2018,1557,west
21/06/2018,1797,north
21/06/2018,1587,south
21/06/2018,1557,east
21/06/2018,1542,west
22/06/2018,1743,north
22/06/2018,1797,south
22/06/2018,1686,east
22/06/2018,1683,west
23/06/2018,1791,north
23/06/2018,1554,south
23/06/2018,1695,east
23/06/2018,1566,west
24/06/2018,1563,north
24/06/2018,1623,south
24/06/2018,1530,east
24/06/2018,1662,west
25/06/2018,1650,north
25/06/2018,1602,south
25/06/2018,1548,east
25/06/2018,1623,west
26/06/2018,1728,north
26/06/2018,1533,south
26/06/2018,1503,east
26/06/2018,1629,west
27/06/2018,1581,north
27/06/2018,1659,south
27/06/2018,1707,east
27/06/2018,1665,west
28/06/2018,1563,north
28/06/2018,1638,south
28/06/2018,1692,east
28/06/2018,1503,west
29/06/2018,1686,north
29/06/2018,1764,south
29/06/2018,1629,east
29/06/2018,1779,west
30/06/2018,1554,north
30/06/2018,1653,south
30/06/2018,1515,east
30/06/2018,1557,west
1/07/2018,1746,north
1/07/2018,1671,south
1/07/2018,1716,east
1/07/2018,1554,west
2/07/2018,1695,north
2/07/2018,1611,south
2/07/2018,1680,east
2/07/2018,1671,west
3/07/2018,1644,north
3/07/2018,1638,south
3/07/2018,1623,east
3/07/2018,1515,west
4/07/2018,1743,north
4/07/2018,1587,south
4/07/2018,1764,east
4/07/2018,1572,west
5/07/2018,1752,north
5/07/2018,1647,south
5/07/2018,1575,east
5/07/2018,1500,west
6/07/2018,1743,north
6/07/2018,1566,south
6/07/2018,1758,east
6/07/2018,1689,west
7/07/2018,1776,north
7/07/2018,1770,south
7/07/2018,1695,east
7/07/2018,1566,west
8/07/2018,1623,north
8/07/2018,1776,south
8/07/2018,1515,east
8/07/2018,1761,west
9/07/2018,1623,north
9/07/2018,1788,south
9/07/2018,1542,east
9/07/2018,1515,west
10/07/2018,1794,north
10/07/2018,1794,south
10/07/2018,1755,east
10/07/2018,1761,west
11/07/2018,1605,north
11/07/2018,1569,south
11/07/2018,1638,east
11/07/2018,1677,west
12/07/2018,1593,north
12/07/2018,1500,south
12/07/2018,1539,east
12/07/2018,1719,west
13/07/2018,1749,north
13/07/2018,1596,south
13/07/2018,1680,east
13/07/2018,1509,west
14/07/2018,1500,north
14/07/2018,1653,south
14/07/2018,1620,east
14/07/2018,1575,west
15/07/2018,1737,north
15/07/2018,1713,south
15/07/2018,1698,east
15/07/2018,1539,west
16/07/2018,1773,north
16/07/2018,1707,south
16/07/2018,1554,east
16/07/2018,1515,west
17/07/2018,1551,north
17/07/2018,1566,south
17/07/2018,1788,east
17/07/2018,1614,west
18/07/2018,1704,north
18/07/2018,1656,south
18/07/2018,1530,east
18/07/2018,1659,west
19/07/2018,1620,north
19/07/2018,1725,south
19/07/2018,1704,east
19/07/2018,1527,west
20/07/2018,1731,north
20/07/2018,1761,south
20/07/2018,1644,east
20/07/2018,1653,west
21/07/2018,1725,north
21/07/2018,1698,south
21/07/2018,1662,east
21/07/2018,1656,west
22/07/2018,1608,north
22/07/2018,1773,south
22/07/2018,1659,east
22/07/2018,1647,west
23/07/2018,1638,north
23/07/2018,1623,south
23/07/2018,1719,east
23/07/2018,1629,west
24/07/2018,1701,north
24/07/2018,1725,south
24/07/2018,1752,east
24/07/2018,1557,west
25/07/2018,1500,north
25/07/2018,1707,south
25/07/2018,1533,east
25/07/2018,1737,west
26/07/2018,1605,north
26/07/2018,1767,south
26/07/2018,1551,east
26/07/2018,1521,west
27/07/2018,1659,north
27/07/2018,1611,south
27/07/2018,1695,east
27/07/2018,1632,west
28/07/2018,1515,north
28/07/2018,1584,south
28/07/2018,1596,east
28/07/2018,1743,west
29/07/2018,1791,north
29/07/2018,1599,south
29/07/2018,1749,east
29/07/2018,1755,west
30/07/2018,1755,north
30/07/2018,1662,south
30/07/2018,1509,east
30/07/2018,1776,west
31/07/2018,1695,north
31/07/2018,1707,south
31/07/2018,1548,east
31/07/2018,1578,west
1/08/2018,1563,north
1/08/2018,1674,south
1/08/2018,1554,east
1/08/2018,1665,west
2/08/2018,1527,north
2/08/2018,1617,south
2/08/2018,1548,east
2/08/2018,1671,west
3/08/2018,1668,north
3/08/2018,1671,south
3/08/2018,1719,east
3/08/2018,1668,west
4/08/2018,1536,north
4/08/2018,1734,south
4/08/2018,1743,east
4/08/2018,1776,west
5/08/2018,1650,north
5/08/2018,1599,south
5/08/2018,1614,east
5/08/2018,1773,west
6/08/2018,1611,north
6/08/2018,1605,south
6/08/2018,1554,east
6/08/2018,1788,west
7/08/2018,1566,north
7/08/2018,1560,south
7/08/2018,1551,east
7/08/2018,1626,west
8/08/2018,1665,north
8/08/2018,1539,south
8/08/2018,1506,east
8/08/2018,1617,west
9/08/2018,1797,north
9/08/2018,1794,south
9/08/2018,1620,east
9/08/2018,1683,west
10/08/2018,1620,north
10/08/2018,1554,south
10/08/2018,1701,east
10/08/2018,1785,west
11/08/2018,1689,north
11/08/2018,1650,south
11/08/2018,1533,east
11/08/2018,1587,west
12/08/2018,1509,north
12/08/2018,1743,south
12/08/2018,1719,east
12/08/2018,1743,west
13/08/2018,1701,north
13/08/2018,1629,south
13/08/2018,1638,east
13/08/2018,1611,west
14/08/2018,1623,north
14/08/2018,1635,south
14/08/2018,1716,east
14/08/2018,1707,west
15/08/2018,1602,north
15/08/2018,1542,south
15/08/2018,1800,east
15/08/2018,1734,west
16/08/2018,1788,north
16/08/2018,1614,south
16/08/2018,1743,east
16/08/2018,1770,west
17/08/2018,1776,north
17/08/2018,1713,south
17/08/2018,1623,east
17/08/2018,1752,west
18/08/2018,1527,north
18/08/2018,1776,south
18/08/2018,1689,east
18/08/2018,1713,west
19/08/2018,1509,north
19/08/2018,1575,south
19/08/2018,1701,east
19/08/2018,1575,west
20/08/2018,1581,north
20/08/2018,1779,south
20/08/2018,1662,east
20/08/2018,1506,west
21/08/2018,1794,north
21/08/2018,1659,south
21/08/2018,1644,east
21/08/2018,1707,west
22/08/2018,1704,north
22/08/2018,1500,south
22/08/2018,1539,east
22/08/2018,1800,west
23/08/2018,1557,north
23/08/2018,1554,south
23/08/2018,1788,east
23/08/2018,1563,west
24/08/2018,1548,north
24/08/2018,1560,south
24/08/2018,1734,east
24/08/2018,1644,west
25/08/2018,1629,north
25/08/2018,1677,south
25/08/2018,1764,east
25/08/2018,1515,west
26/08/2018,1542,north
26/08/2018,1545,south
26/08/2018,1668,east
26/08/2018,1584,west
27/08/2018,1605,north
27/08/2018,1740,south
27/08/2018,1602,east
27/08/2018,1509,west
28/08/2018,1566,north
28/08/2018,1680,south
28/08/2018,1656,east
28/08/2018,1722,west
29/08/2018,1662,north
29/08/2018,1794,south
29/08/2018,1734,east
29/08/2018,1647,west
30/08/2018,1635,north
30/08/2018,1743,south
30/08/2018,1665,east
30/08/2018,1770,west
31/08/2018,1749,north
31/08/2018,1695,south
31/08/2018,1644,east
31/08/2018,1602,west
1/09/2018,1560,north
1/09/2018,1500,south
1/09/2018,1719,east
1/09/2018,1557,west
2/09/2018,1527,north
2/09/2018,1653,south
2/09/2018,1506,east
2/09/2018,1575,west
3/09/2018,1749,north
3/09/2018,1770,south
3/09/2018,1674,east
3/09/2018,1650,west
4/09/2018,1794,north
4/09/2018,1509,south
4/09/2018,1785,east
4/09/2018,1539,west
5/09/2018,1731,north
5/09/2018,1617,south
5/09/2018,1656,east
5/09/2018,1599,west
6/09/2018,1713,north
6/09/2018,1506,south
6/09/2018,1758,east
6/09/2018,1650,west
7/09/2018,1791,north
7/09/2018,1623,south
7/09/2018,1776,east
7/09/2018,1653,west
8/09/2018,1659,north
8/09/2018,1755,south
8/09/2018,1533,east
8/09/2018,1557,west
9/09/2018,1527,north
9/09/2018,1614,south
9/09/2018,1638,east
9/09/2018,1704,west
10/09/2018,1650,north
10/09/2018,1656,south
10/09/2018,1782,east
10/09/2018,1527,west
11/09/2018,1578,north
11/09/2018,1767,south
11/09/2018,1749,east
11/09/2018,1524,west
12/09/2018,1719,north
12/09/2018,1695,south
12/09/2018,1740,east
12/09/2018,1533,west
13/09/2018,1653,north
13/09/2018,1560,south
13/09/2018,1677,east
13/09/2018,1539,west
14/09/2018,1713,north
14/09/2018,1554,south
14/09/2018,1743,east
14/09/2018,1701,west
15/09/2018,1587,north
15/09/2018,1512,south
15/09/2018,1698,east
15/09/2018,1746,west
16/09/2018,1554,north
16/09/2018,1554,south
16/09/2018,1782,east
16/09/2018,1782,west
17/09/2018,1764,north
17/09/2018,1620,south
17/09/2018,1545,east
17/09/2018,1722,west
18/09/2018,1503,north
18/09/2018,1530,south
18/09/2018,1737,east
18/09/2018,1692,west
19/09/2018,1542,north
19/09/2018,1758,south
19/09/2018,1779,east
19/09/2018,1593,west
20/09/2018,1686,north
20/09/2018,1749,south
20/09/2018,1662,east
20/09/2018,1569,west
21/09/2018,1590,north
21/09/2018,1665,south
21/09/2018,1716,east
21/09/2018,1704,west
22/09/2018,1632,north
22/09/2018,1581,south
22/09/2018,1758,east
22/09/2018,1641,west
23/09/2018,1731,north
23/09/2018,1677,south
23/09/2018,1728,east
23/09/2018,1755,west
24/09/2018,1611,north
24/09/2018,1593,south
24/09/2018,1797,east
24/09/2018,1560,west
25/09/2018,1530,north
25/09/2018,1770,south
25/09/2018,1611,east
25/09/2018,1701,west
26/09/2018,1617,north
26/09/2018,1515,south
26/09/2018,1713,east
26/09/2018,1500,west
27/09/2018,1632,north
27/09/2018,1713,south
27/09/2018,1743,east
27/09/2018,1587,west
28/09/2018,1749,north
28/09/2018,1533,south
28/09/2018,1653,east
28/09/2018,1512,west
29/09/2018,1518,north
29/09/2018,1623,south
29/09/2018,1701,east
29/09/2018,1596,west
30/09/2018,1746,north
30/09/2018,1536,south
30/09/2018,1659,east
30/09/2018,1524,west
1/10/2018,1782,north
1/10/2018,1632,south
1/10/2018,1755,east
1/10/2018,1650,west
2/10/2018,1680,north
2/10/2018,1701,south
2/10/2018,1800,east
2/10/2018,1740,west
3/10/2018,1563,north
3/10/2018,1788,south
3/10/2018,1536,east
3/10/2018,1764,west
4/10/2018,1512,north
4/10/2018,1560,south
4/10/2018,1626,east
4/10/2018,1797,west
5/10/2018,1779,north
5/10/2018,1683,south
5/10/2018,1713,east
5/10/2018,1794,west
6/10/2018,1584,north
6/10/2018,1647,south
6/10/2018,1596,east
6/10/2018,1515,west
7/10/2018,1533,north
7/10/2018,1608,south
7/10/2018,1794,east
7/10/2018,1578,west
8/10/2018,1701,north
8/10/2018,1617,south
8/10/2018,1779,east
8/10/2018,1785,west
9/10/2018,1680,north
9/10/2018,1590,south
9/10/2018,1551,east
9/10/2018,1587,west
10/10/2018,1749,north
10/10/2018,1701,south
10/10/2018,1599,east
10/10/2018,1506,west
11/10/2018,1596,north
11/10/2018,1800,south
11/10/2018,1749,east
11/10/2018,1674,west
12/10/2018,1782,north
12/10/2018,1647,south
12/10/2018,1542,east
12/10/2018,1656,west
13/10/2018,1581,north
13/10/2018,1713,south
13/10/2018,1722,east
13/10/2018,1686,west
14/10/2018,1728,north
14/10/2018,1755,south
14/10/2018,1503,east
14/10/2018,1602,west
15/10/2018,1605,north
15/10/2018,1719,south
15/10/2018,1548,east
15/10/2018,1626,west
16/10/2018,1551,north
16/10/2018,1662,south
16/10/2018,1650,east
16/10/2018,1788,west
17/10/2018,1536,north
17/10/2018,1551,south
17/10/2018,1656,east
17/10/2018,1644,west
18/10/2018,1692,north
18/10/2018,1518,south
18/10/2018,1509,east
18/10/2018,1674,west
19/10/2018,1521,north
19/10/2018,1632,south
19/10/2018,1794,east
19/10/2018,1689,west
20/10/2018,1692,north
20/10/2018,1662,south
20/10/2018,1776,east
20/10/2018,1710,west
21/10/2018,1569,north
21/10/2018,1704,south
21/10/2018,1767,east
21/10/2018,1767,west
22/10/2018,1542,north
22/10/2018,1707,south
22/10/2018,1578,east
22/10/2018,1521,west
23/10/2018,1764,north
23/10/2018,1683,south
23/10/2018,1602,east
23/10/2018,1755,west
24/10/2018,1650,north
24/10/2018,1629,south
24/10/2018,1692,east
24/10/2018,1542,west
25/10/2018,1629,north
25/10/2018,1587,south
25/10/2018,1635,east
25/10/2018,1653,west
26/10/2018,1596,north
26/10/2018,1524,south
26/10/2018,1545,east
26/10/2018,1707,west
27/10/2018,1509,north
27/10/2018,1509,south
27/10/2018,1686,east
27/10/2018,1785,west
28/10/2018,1635,north
28/10/2018,1752,south
28/10/2018,1785,east
28/10/2018,1755,west
29/10/2018,1707,north
29/10/2018,1701,south
29/10/2018,1599,east
29/10/2018,1782,west
30/10/2018,1677,north
30/10/2018,1719,south
30/10/2018,1530,east
30/10/2018,1776,west
31/10/2018,1674,north
31/10/2018,1641,south
31/10/2018,1596,east
31/10/2018,1506,west
1/11/2018,1692,north
1/11/2018,1623,south
1/11/2018,1593,east
1/11/2018,1551,west
2/11/2018,1728,north
2/11/2018,1608,south
2/11/2018,1530,east
2/11/2018,1791,west
3/11/2018,1704,north
3/11/2018,1653,south
3/11/2018,1548,east
3/11/2018,1626,west
4/11/2018,1695,north
4/11/2018,1590,south
4/11/2018,1530,east
4/11/2018,1644,west
5/11/2018,1611,north
5/11/2018,1617,south
5/11/2018,1776,east
5/11/2018,1641,west
6/11/2018,1740,north
6/11/2018,1590,south
6/11/2018,1773,east
6/11/2018,1641,west
7/11/2018,1527,north
7/11/2018,1755,south
7/11/2018,1650,east
7/11/2018,1593,west
8/11/2018,1548,north
8/11/2018,1623,south
8/11/2018,1500,east
8/11/2018,1569,west
9/11/2018,1647,north
9/11/2018,1662,south
9/11/2018,1710,east
9/11/2018,1719,west
10/11/2018,1590,north
10/11/2018,1539,south
10/11/2018,1566,east
10/11/2018,1770,west
11/11/2018,1722,north
11/11/2018,1524,south
11/11/2018,1641,east
11/11/2018,1662,west
12/11/2018,1716,north
12/11/2018,1611,south
12/11/2018,1569,east
12/11/2018,1797,west
13/11/2018,1698,north
13/11/2018,1581,south
13/11/2018,1776,east
13/11/2018,1644,west
14/11/2018,1563,north
14/11/2018,1707,south
14/11/2018,1533,east
14/11/2018,1572,west
15/11/2018,1623,north
15/11/2018,1698,south
15/11/2018,1521,east
15/11/2018,1707,west
16/11/2018,1587,north
16/11/2018,1776,south
16/11/2018,1662,east
16/11/2018,1578,west
17/11/2018,1554,north
17/11/2018,1515,south
17/11/2018,1602,east
17/11/2018,1557,west
18/11/2018,1521,north
18/11/2018,1740,south
18/11/2018,1617,east
18/11/2018,1647,west
19/11/2018,1551,north
19/11/2018,1500,south
19/11/2018,1725,east
19/11/2018,1563,west
20/11/2018,1791,north
20/11/2018,1578,south
20/11/2018,1632,east
20/11/2018,1674,west
21/11/2018,1617,north
21/11/2018,1509,south
21/11/2018,1644,east
21/11/2018,1542,west
22/11/2018,1650,north
22/11/2018,1758,south
22/11/2018,1710,east
22/11/2018,1737,west
23/11/2018,1779,north
23/11/2018,1743,south
23/11/2018,1560,east
23/11/2018,1719,west
24/11/2018,1689,north
